DATE,CLOSE,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9
34541,364.01,368.89,367.15,367.55,370.48,372.78,373.58,370.16,362.14,361.81,364.01
34540,366.11,367.15,367.55,370.48,372.78,373.58,370.16,362.14,361.81,364.01,366.11
34537,365.06,367.55,370.48,372.78,373.58,370.16,362.14,361.81,364.01,366.11,365.06
34536,362.21,370.48,372.78,373.58,370.16,362.14,361.81,364.01,366.11,365.06,362.21
34535,359.53,372.78,373.58,370.16,362.14,361.81,364.01,366.11,365.06,362.21,359.53
34534,364.72,373.58,370.16,362.14,361.81,364.01,366.11,365.06,362.21,359.53,364.72
34533,368.18,370.16,362.14,361.81,364.01,366.11,365.06,362.21,359.53,364.72,368.18
34530,367.24,362.14,361.81,364.01,366.11,365.06,362.21,359.53,364.72,368.18,367.24
34529,367.52,361.81,364.01,366.11,365.06,362.21,359.53,364.72,368.18,367.24,367.52
34528,369.14,364.01,366.11,365.06,362.21,359.53,364.72,368.18,367.24,367.52,369.14
34527,361.31,366.11,365.06,362.21,359.53,364.72,368.18,367.24,367.52,369.14,361.31
34526,358.79,365.06,362.21,359.53,364.72,368.18,367.24,367.52,369.14,361.31,358.79
34523,359.31,362.21,359.53,364.72,368.18,367.24,367.52,369.14,361.31,358.79,359.31
34522,359.23,359.53,364.72,368.18,367.24,367.52,369.14,361.31,358.79,359.31,359.23
34521,353.62,364.72,368.18,367.24,367.52,369.14,361.31,358.79,359.31,359.23,353.62
34520,356.91,368.18,367.24,367.52,369.14,361.31,358.79,359.31,359.23,353.62,356.91
34516,360.03,367.24,367.52,369.14,361.31,358.79,359.31,359.23,353.62,356.91,360.03
34515,360.3,367.52,369.14,361.31,358.79,359.31,359.23,353.62,356.91,360.03,360.3
34514,362.73,369.14,361.31,358.79,359.31,359.23,353.62,356.91,360.03,360.3,362.73
34513,362.05,361.31,358.79,359.31,359.23,353.62,356.91,360.03,360.3,362.73,362.05
34512,361.16,358.79,359.31,359.23,353.62,356.91,360.03,360.3,362.73,362.05,361.16
34509,351.76,359.31,359.23,353.62,356.91,360.03,360.3,362.73,362.05,361.16,351.76
34508,353.49,359.23,353.62,356.91,360.03,360.3,362.73,362.05,361.16,351.76,353.49
34507,363.23,353.62,356.91,360.03,360.3,362.73,362.05,361.16,351.76,353.49,363.23
34506,360.98,356.91,360.03,360.3,362.73,362.05,361.16,351.76,353.49,363.23,360.98
34505,367.83,360.03,360.3,362.73,362.05,361.16,351.76,353.49,363.23,360.98,367.83
34502,371.94,360.3,362.73,362.05,361.16,351.76,353.49,363.23,360.98,367.83,371.94
34501,377.8,362.73,362.05,361.16,351.76,353.49,363.23,360.98,367.83,371.94,377.8
34500,377.78,362.05,361.16,351.76,353.49,363.23,360.98,367.83,371.94,377.8,377.78
34499,377.38,361.16,351.76,353.49,363.23,360.98,367.83,371.94,377.8,377.78,377.38
34498,371.88,351.76,353.49,363.23,360.98,367.83,371.94,377.8,377.78,377.38,371.88
34495,374.64,353.49,363.23,360.98,367.83,371.94,377.8,377.78,377.38,371.88,374.64
34494,370.3,363.23,360.98,367.83,371.94,377.8,377.78,377.38,371.88,374.64,370.3
34493,371,360.98,367.83,371.94,377.8,377.78,377.38,371.88,374.64,370.3,371
34492,379.99,367.83,371.94,377.8,377.78,377.38,371.88,374.64,370.3,371,379.99
34491,382.8,371.94,377.8,377.78,377.38,371.88,374.64,370.3,371,379.99,382.8
34488,382.78,377.8,377.78,377.38,371.88,374.64,370.3,371,379.99,382.8,382.78
34487,380.66,377.78,377.38,371.88,374.64,370.3,371,379.99,382.8,382.78,380.66
34486,379.23,377.38,371.88,374.64,370.3,371,379.99,382.8,382.78,380.66,379.23
34485,378.85,371.88,374.64,370.3,371,379.99,382.8,382.78,380.66,379.23,378.85
34481,376.81,374.64,370.3,371,379.99,382.8,382.78,380.66,379.23,378.85,376.81
34480,375.8,370.3,371,379.99,382.8,382.78,380.66,379.23,378.85,376.81,375.8
34479,378.24,371,379.99,382.8,382.78,380.66,379.23,378.85,376.81,375.8,378.24
34478,377,379.99,382.8,382.78,380.66,379.23,378.85,376.81,375.8,378.24,377
34477,369.89,382.8,382.78,380.66,379.23,378.85,376.81,375.8,378.24,377,369.89
34474,370.37,382.78,380.66,379.23,378.85,376.81,375.8,378.24,377,369.89,370.37
34473,371.71,380.66,379.23,378.85,376.81,375.8,378.24,377,369.89,370.37,371.71
34472,368.59,379.23,378.85,376.81,375.8,378.24,377,369.89,370.37,371.71,368.59
34471,360.5,378.85,376.81,375.8,378.24,377,369.89,370.37,371.71,368.59,360.5
34470,360.49,376.81,375.8,378.24,377,369.89,370.37,371.71,368.59,360.5,360.49
34467,364.82,375.8,378.24,377,369.89,370.37,371.71,368.59,360.5,360.49,364.82
34466,366.64,378.24,377,369.89,370.37,371.71,368.59,360.5,360.49,364.82,366.64
34465,365.18,377,369.89,370.37,371.71,368.59,360.5,360.49,364.82,366.64,365.18
34464,370.02,369.89,370.37,371.71,368.59,360.5,360.49,364.82,366.64,365.18,370.02
34463,368,370.37,371.71,368.59,360.5,360.49,364.82,366.64,365.18,370.02,368
34460,374.57,371.71,368.59,360.5,360.49,364.82,366.64,365.18,370.02,368,374.57
34459,378.23,368.59,360.5,360.49,364.82,366.64,365.18,370.02,368,374.57,378.23
34458,377.53,360.5,360.49,364.82,366.64,365.18,370.02,368,374.57,378.23,377.53
34457,377.07,360.49,364.82,366.64,365.18,370.02,368,374.57,378.23,377.53,377.07
34456,379.82,364.82,366.64,365.18,370.02,368,374.57,378.23,377.53,377.07,379.82
34453,373.25,366.64,365.18,370.02,368,374.57,378.23,377.53,377.07,379.82,373.25
34452,372.45,365.18,370.02,368,374.57,378.23,377.53,377.07,379.82,373.25,372.45
34450,375.46,370.02,368,374.57,378.23,377.53,377.07,379.82,373.25,372.45,375.46
34449,374.79,368,374.57,378.23,377.53,377.07,379.82,373.25,372.45,375.46,374.79
34446,369.08,374.57,378.23,377.53,377.07,379.82,373.25,372.45,375.46,374.79,369.08
34445,367.02,378.23,377.53,377.07,379.82,373.25,372.45,375.46,374.79,369.08,367.02
34444,355.38,377.53,377.07,379.82,373.25,372.45,375.46,374.79,369.08,367.02,355.38
34443,357.36,377.07,379.82,373.25,372.45,375.46,374.79,369.08,367.02,355.38,357.36
34442,360.46,379.82,373.25,372.45,375.46,374.79,369.08,367.02,355.38,357.36,360.46
34439,366.29,373.25,372.45,375.46,374.79,369.08,367.02,355.38,357.36,360.46,366.29
34438,365.65,372.45,375.46,374.79,369.08,367.02,355.38,357.36,360.46,366.29,365.65
34437,367.25,375.46,374.79,369.08,367.02,355.38,357.36,360.46,366.29,365.65,367.25
34436,375.46,374.79,369.08,367.02,355.38,357.36,360.46,366.29,365.65,367.25,375.46
34435,383.85,369.08,367.02,355.38,357.36,360.46,366.29,365.65,367.25,375.46,383.85
34432,384.9,367.02,355.38,357.36,360.46,366.29,365.65,367.25,375.46,383.85,384.9
34431,390.97,355.38,357.36,360.46,366.29,365.65,367.25,375.46,383.85,384.9,390.97
34430,388.76,357.36,360.46,366.29,365.65,367.25,375.46,383.85,384.9,390.97,388.76
34429,389.31,360.46,366.29,365.65,367.25,375.46,383.85,384.9,390.97,388.76,389.31
34428,375.42,366.29,365.65,367.25,375.46,383.85,384.9,390.97,388.76,389.31,375.42
34424,382.96,365.65,367.25,375.46,383.85,384.9,390.97,388.76,389.31,375.42,382.96
34423,380.25,367.25,375.46,383.85,384.9,390.97,388.76,389.31,375.42,382.96,380.25
34422,383,375.46,383.85,384.9,390.97,388.76,389.31,375.42,382.96,380.25,383
34421,393.92,383.85,384.9,390.97,388.76,389.31,375.42,382.96,380.25,383,393.92
34418,399.86,384.9,390.97,388.76,389.31,375.42,382.96,380.25,383,393.92,399.86
34417,403.92,390.97,388.76,389.31,375.42,382.96,380.25,383,393.92,399.86,403.92
34416,410.5,388.76,389.31,375.42,382.96,380.25,383,393.92,399.86,403.92,410.5
34415,410.67,389.31,375.42,382.96,380.25,383,393.92,399.86,403.92,410.5,410.67
34414,412.99,375.42,382.96,380.25,383,393.92,399.86,403.92,410.5,410.67,412.99
34411,417.52,382.96,380.25,383,393.92,399.86,403.92,410.5,410.67,412.99,417.52
34410,418.45,380.25,383,393.92,399.86,403.92,410.5,410.67,412.99,417.52,418.45
34409,415.31,383,393.92,399.86,403.92,410.5,410.67,412.99,417.52,418.45,415.31
34408,412.83,393.92,399.86,403.92,410.5,410.67,412.99,417.52,418.45,415.31,412.83
34407,412.93,399.86,403.92,410.5,410.67,412.99,417.52,418.45,415.31,412.83,412.93
34404,409.43,403.92,410.5,410.67,412.99,417.52,418.45,415.31,412.83,412.93,409.43
34403,409.77,410.5,410.67,412.99,417.52,418.45,415.31,412.83,412.93,409.43,409.77
34402,413.08,410.67,412.99,417.52,418.45,415.31,412.83,412.93,409.43,409.77,413.08
